fault w,section w,multifault w,k-s dist,p,reject?
0.1,0.1,0.8,0.304,0,1
0.1,0.2,0.7,0.217,0.001,1
0.1,0.3,0.6,0.168,0.019,1
0.1,0.4,0.5,0.137,0.09,1
0.1,0.5,0.4,0.13,0.119,0
0.1,0.6,0.3,0.13,0.119,0
0.1,0.7,0.2,0.118,0.199,0
0.1,0.8,0.1,0.106,0.314,0
0.2,0.1,0.7,0.354,0,1
0.2,0.2,0.6,0.267,0,1
0.2,0.3,0.5,0.193,0.004,1
0.2,0.4,0.4,0.149,0.05,1
0.2,0.5,0.3,0.13,0.119,0
0.2,0.6,0.2,0.118,0.199,0
0.2,0.7,0.1,0.106,0.314,0
0.3,0.1,0.6,0.36,0,1
0.3,0.2,0.5,0.28,0,1
0.3,0.3,0.4,0.224,0.001,1
0.3,0.4,0.3,0.161,0.027,1
0.3,0.5,0.2,0.118,0.199,0
0.3,0.6,0.1,0.106,0.314,0
0.4,0.1,0.5,0.36,0,1
0.4,0.2,0.4,0.28,0,1
0.4,0.3,0.3,0.217,0.001,1
0.4,0.4,0.2,0.174,0.013,1
0.4,0.5,0.1,0.124,0.155,0
0.5,0.1,0.4,0.354,0,1
0.5,0.2,0.3,0.273,0,1
0.5,0.3,0.2,0.224,0.001,1
0.5,0.4,0.1,0.161,0.027,1
0.6,0.1,0.3,0.342,0,1
0.6,0.2,0.2,0.273,0,1
0.6,0.3,0.1,0.217,0.001,1
0.7,0.1,0.2,0.329,0,1
0.7,0.2,0.1,0.261,0,1
0.8,0.1,0.1,0.323,0,1
